icao,name,municipality,iso_country,type,latitude_deg,longitude_deg
FCBY,Yokangassi Airport,Nkayi,CG,small_airport,-4.223077,13.286347
FCBZ,Zanaga Airport,Zanaga,CG,small_airport,-2.846651,13.821155
FCMA,Mavinza Airport,Mavinza,CG,small_airport,-2.450000047683716,11.649999618530273
FCMB,N'Ziba Airport,N'Ziba,CG,small_airport,-2.7170000076293945,12.532999992370605
FCMD,Sidetra Airport,Sidetra,CG,small_airport,-2.867000102996826,12.866999626159668
FCMF,Loufoula Airport,Loufoula,CG,small_airport,-3,12
FCMG,Gokango Airport,Gokango,CG,small_airport,-3.0329999923706055,12.133000373840332
FCMI,Irogo Airport,Irogo,CG,small_airport,-2.7170000076293945,11.883000373840332
FCMK,Kele Kibangou Airport,Kele Kibangou,CG,small_airport,-3.316999912261963,12.616999626159668
FCML,Leboulou Airport,Leboulou,CG,small_airport,-2.9000000953674316,12.366999626159668
FCMM,Mossendjo Airport,Mossendjo,CG,small_airport,-2.95,12.7
FCMN,N'gongo Airport,N'gongo,CG,small_airport,-2.9830000400543213,12.199999809265137
FCMO,Mandoro Airport,Mandoro,CG,small_airport,-2.6500000953674316,12.883000373840332
FCMR,Marala Airport,Marala,CG,small_airport,-2.9000000953674316,12.633000373840332
FCMS,Nyanga Airport,Nyanga,CG,small_airport,-2.867000102996826,11.949999809265137
FCMY,Legala Airport,Legala,CG,small_airport,-2.2170000076293945,12.833000183105469
FCMZ,N'Zabi Airport,N'Zabi,CG,small_airport,-3.1670000553131104,12.866999626159668
FCOB,Boundji Airport,Boundji,CG,small_airport,-1.03104,15.336009
FCOD,Oyo Ollombo Airport,Oyo,CG,medium_airport,-1.226666,15.91
FCOE,Ewo Airport,Ewo,CG,small_airport,-0.883,14.8
FCOG,Gamboma Airport,Gamboma,CG,small_airport,-1.829403,15.885237
FCOI,Impfondo Airport,Impfondo,CG,small_airport,1.589968,18.046624
FCOK,Kelle Airport,Kelle,CG,small_airport,-0.071271,14.506621
FCOM,Makoua Airport,Makoua,CG,small_airport,-0.020842,15.577746
FCOO,Owando Airport,Owando,CG,medium_airport,-0.524566,15.93782
FCOS,Souanke Airport,Souanke,CG,small_airport,1.998326,14.174217
FCOT,Betou Airport,Betou,CG,small_airport,3.057593,18.514433
FCOU,Ouesso Airport,,CG,medium_airport,1.61599,16.037901
FCPA,Makabana Airport,Makabana,CG,small_airport,-3.483,12.617
FCPB,Bangamba Airport,Bangamba,CG,small_airport,-3.683000087738037,13.199999809265137
FCPE,Leganda Airport,Leganda,CG,small_airport,-3.433000087738037,12.932999610900879
FCPG,Kibangou Airport,Kibangou,CG,small_airport,-3.4830000400543213,12.300000190734863
FCPI,Loubetsi Airport,Loubetsi,CG,small_airport,-3.700000047683716,12.133000373840332
FCPK,N'komo Airport,N'zambi,CG,small_airport,-3.93999,11.30887
FCPD,Ngot Nzoungou Airport,Dolisie,CG,medium_airport,-4.20635,12.6599
FCPN,Noumbi Airport,Noumbi,CG,small_airport,-4.144149,11.383476
FCPO,Pemo Airport,Pemo,CG,small_airport,-2.867000102996826,12.532999992370605
FCPP,Antonio Agostinho-Neto International Airport,Pointe Noire,CG,large_airport,-4.81603,11.8866
FCPY,Loukanyi Airport,Loukanyi,CG,small_airport,-4.048475,11.521568
FD00,Dade County Mosquito Control Heliport,Medley,US,heliport,25.827339963900002,-80.3424784541
FD02,Patch O Blue Airport,Orange Springs,US,small_airport,29.485001,-82.022003
FD03,The Funny Farm Airport,Crestview,US,small_airport,30.800199508666992,-86.43550109863281
FD04,Leeward Air Ranch Airport,Ocala/Belleview,US,small_airport,29.0841007232666,-82.03230285644531
FD05,Mariners Hospital Heliport,Tavernier,US,heliport,25.00693,-80.52233
FD06,Lake Bird Heliport,Lutz,US,heliport,28.18090057373047,-82.45559692382812
FD07,Johnson Heliport,Safety Harbor,US,heliport,27.98699951171875,-82.71869659423828
FD08,Antiquers Aerodrome,Delray Beach,US,small_airport,26.465401,-80.149803
FD09,Rlm Farms Airport,Kenansville,US,small_airport,27.809999465942383,-80.85890197753906
FD11,FPC Heliport,Jacksonville,US,heliport,30.32382,-81.66744
FD12,Toho Seaplane Base,Kissimmee,US,seaplane_base,28.25029945373535,-81.3915023803711
FD14,Paniola Air Ranch Airport,Citra,US,small_airport,29.37529945373535,-82.05809783935547
